method,path,handler,domain,risk,evidence_required,status,evidence_path,notes
GET,/api/operations/settlement/instructions/{instructionRef},SettlementController.getInstruction  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/instructions/{instructionRef}/approve,SettlementController.approveInstruction  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/api/operations/settlement/instructions/{instructionRef}/record-rtgs-upload,SettlementController.recordRtgsPortalUpload  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/api/operations/settlement/instructions/{instructionRef}/reject,SettlementController.rejectInstruction  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/settlement/instructions/{instructionRef}/rtgs-file,SettlementController.downloadRtgsFile  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/instructions/{instructionRef}/send-rtgs,SettlementController.sendInstructionToRtgs  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/transaction-events,OperationsTransactionEventsController.listEventsByDate  (src/main/java/com/example/switching/operations/controller/OperationsTransactionEventsController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/14-operations-events-20260717T024646Z,
GET,/api/operations/transaction-events/{transactionRef},OperationsTransactionEventsController.getEvents  (src/main/java/com/example/switching/operations/controller/OperationsTransactionEventsController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/14-operations-events-20260717T024646Z,
GET,/api/operations/transactions,OperationsTransactionQueryController.searchTransactions  (src/main/java/com/example/switching/operations/controller/OperationsTransactionQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/12-operations-transfer-query-20260717T023544Z,
GET,/api/operations/transfers,OperationsTransferQueryController.searchTransfers  (src/main/java/com/example/switching/operations/controller/OperationsTransferQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/12-operations-transfer-query-20260717T023544Z,
GET,/api/operations/transfers/{transferRef},OperationsTransferQueryController.findTransfer  (src/main/java/com/example/switching/operations/controller/OperationsTransferQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/12-operations-transfer-query-20260717T023544Z,
GET,/api/operations/transfers/{transferRef}/trace,OperationsTransferTraceController.getTransferTrace  (src/main/java/com/example/switching/operations/controller/OperationsTransferTraceController.java),operations,read,authenticated read + unauthorized negative,PASS,04-payment-failure-retry-auto,
GET,/api/outbox-events,OutboxEventController.searchOutboxEvents  (src/main/java/com/example/switching/outbox/controller/OutboxEventController.java),outbox-events,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/23-outbox-events-20260717T033431Z,
POST,/api/outbox-events/{outboxEventId}/retry,OutboxManualRetryController.retryOutboxEvent  (src/main/java/com/example/switching/outbox/controller/OutboxManualRetryController.java),outbox-events,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/participants,ParticipantController.list  (src/main/java/com/example/switching/participant/controller/ParticipantController.java),participants,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
POST,/api/participants,ParticipantController.create  (src/main/java/com/example/switching/participant/controller/ParticipantController.java),participants,standard,happy path + authorization + validation + cleanup,PASS,17-security-operational/certificate-lifecycle,
GET,/api/participants/{bankCode},ParticipantController.getByBankCode  (src/main/java/com/example/switching/participant/controller/ParticipantController.java),participants,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
PATCH,/api/participants/{bankCode},ParticipantController.update  (src/main/java/com/example/switching/participant/controller/ParticipantController.java),participants,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/06-participant-update-20260717T014144Z,
GET,/api/routing-rules,RoutingRuleController.list  (src/main/java/com/example/switching/routing/controller/RoutingRuleController.java),routing-rules,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
POST,/api/routing-rules,RoutingRuleController.create  (src/main/java/com/example/switching/routing/controller/RoutingRuleController.java),routing-rules,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/04-routing-rules-20260717T013259Z,
POST,/api/routing-rules/cache/clear,RoutingRuleController.clearCache  (src/main/java/com/example/switching/routing/controller/RoutingRuleController.java),routing-rules,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/04-routing-rules-20260717T013259Z,
GET,/api/routing-rules/resolve,RoutingRuleController.resolve  (src/main/java/com/example/switching/routing/controller/RoutingRuleController.java),routing-rules,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
PATCH,/api/routing-rules/{routeCode},RoutingRuleController.update  (src/main/java/com/example/switching/routing/controller/RoutingRuleController.java),routing-rules,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/04-routing-rules-20260717T013259Z,
GET,/api/transfers,TransferListController.searchTransfers  (src/main/java/com/example/switching/transfer/controller/TransferListController.java),transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/11-transfer-monitor-20260717T022743Z,
POST,/api/transfers,TransferController.create  (src/main/java/com/example/switching/transfer/controller/TransferController.java),transfers,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,04-payment-failure-retry-auto,
GET,/api/transfers/{transferRef},TransferInquiryController.inquire  (src/main/java/com/example/switching/transfer/controller/TransferInquiryController.java),transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/11-transfer-monitor-20260717T022743Z,
GET,/api/transfers/{transferRef}/trace,TransferTraceController.getTransferTrace  (src/main/java/com/example/switching/transfer/controller/TransferTraceController.java),transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/11-transfer-monitor-20260717T022743Z,
GET,/v1/billers,BillPaymentController.listBillers  (src/main/java/com/example/switching/billpayment/controller/BillPaymentController.java),v1-billers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/32-billers-20260717T064404Z,
GET,/v1/billers/{billerId},BillPaymentController.getBiller  (src/main/java/com/example/switching/billpayment/controller/BillPaymentController.java),v1-billers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/32-billers-20260717T064404Z,
GET,/v1/bills/fetch,BillPaymentController.fetchBill  (src/main/java/com/example/switching/billpayment/controller/BillPaymentController.java),v1-bills,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/32-billers-20260717T064404Z,
POST,/v1/bills/pay,BillPaymentController.pay  (src/main/java/com/example/switching/billpayment/controller/BillPaymentController.java),v1-bills,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/32-billers-20260717T064404Z,
GET,/v1/compliance/sanctions/check,ComplianceController.sanctionsCheck  (src/main/java/com/example/switching/aml/controller/ComplianceController.java),v1-compliance,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/33-compliance-20260717T064657Z,
GET,/v1/compliance/str/{strId},ComplianceController.getStr  (src/main/java/com/example/switching/aml/controller/ComplianceController.java),v1-compliance,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/33-compliance-20260717T064657Z,
GET,/v1/compliance/velocity/{pspId},ComplianceController.getVelocity  (src/main/java/com/example/switching/aml/controller/ComplianceController.java),v1-compliance,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/33-compliance-20260717T064657Z,
GET,/v1/crossborder/corridors,CrossBorderController.listCorridors  (src/main/java/com/example/switching/crossborder/controller/CrossBorderController.java),v1-crossborder,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/27-crossborder-reads-20260717T035247Z,
GET,/v1/crossborder/fx-rates,CrossBorderController.getFxRates  (src/main/java/com/example/switching/crossborder/controller/CrossBorderController.java),v1-crossborder,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/27-crossborder-reads-20260717T035247Z,
POST,/v1/crossborder/inbound/{rail},CrossBorderInboundController.inbound  (src/main/java/com/example/switching/crossborder/controller/CrossBorderInboundController.java),v1-crossborder,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/crossborder/initiate,CrossBorderController.initiate  (src/main/java/com/example/switching/crossborder/controller/CrossBorderController.java),v1-crossborder,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/crossborder/quote,CrossBorderController.createQuote  (src/main/java/com/example/switching/crossborder/controller/CrossBorderController.java),v1-crossborder,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/disputes,DisputeController.list  (src/main/java/com/example/switching/dispute/controller/DisputeController.java),v1-disputes,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/public-disputes,
POST,/v1/disputes/raise,DisputeController.raise  (src/main/java/com/example/switching/dispute/controller/DisputeController.java),v1-disputes,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/public-disputes,
GET,/v1/disputes/{disputeId},DisputeController.getDispute  (src/main/java/com/example/switching/dispute/controller/DisputeController.java),v1-disputes,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/public-disputes,
POST,/v1/disputes/{disputeId}/resolve,DisputeController.resolve  (src/main/java/com/example/switching/dispute/controller/DisputeController.java),v1-disputes,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/public-disputes,
PUT,/v1/disputes/{disputeId}/respond,DisputeController.respond  (src/main/java/com/example/switching/dispute/controller/DisputeController.java),v1-disputes,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/public-disputes,
GET,/v1/fpre/health,FpreTransferController.health  (src/main/java/com/example/switching/fpre/controller/FpreTransferController.java),v1-fpre,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/13-fpre-observability-20260717T024042Z,
POST,/v1/lookup/resolve,VpaController.resolve  (src/main/java/com/example/switching/vpa/controller/VpaController.java),v1-lookup,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/lookup/vpa/register,VpaController.register  (src/main/java/com/example/switching/vpa/controller/VpaController.java),v1-lookup,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
DELETE,/v1/lookup/vpa/{vpaId},VpaController.deregister  (src/main/java/com/example/switching/vpa/controller/VpaController.java),v1-lookup,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/lookup/vpa/{vpaId},VpaController.getById  (src/main/java/com/example/switching/vpa/controller/VpaController.java),v1-lookup,read,authenticated read + unauthorized negative,NOT_TESTED,,
PUT,/v1/lookup/vpa/{vpaId},VpaController.update  (src/main/java/com/example/switching/vpa/controller/VpaController.java),v1-lookup,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/oauth/token,OAuthTokenController.token  (src/main/java/com/example/switching/security/oauth/controller/OAuthTokenController.java),v1-oauth,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/oauth/token/revoke,OAuthTokenController.revoke  (src/main/java/com/example/switching/security/oauth/controller/OAuthTokenController.java),v1-oauth,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/operations/break-glass,PrivilegedAccessController.list  (src/main/java/com/example/switching/security/breakglass/controller/PrivilegedAccessController.java),v1-operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/operations/break-glass,PrivilegedAccessController.request  (src/main/java/com/example/switching/security/breakglass/controller/PrivilegedAccessController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/v1/operations/break-glass/{id}/approve,PrivilegedAccessController.approve  (src/main/java/com/example/switching/security/breakglass/controller/PrivilegedAccessController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/v1/operations/break-glass/{id}/revoke,PrivilegedAccessController.revoke  (src/main/java/com/example/switching/security/breakglass/controller/PrivilegedAccessController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational,
GET,/v1/operations/config-changes,ConfigurationChangeController.list  (src/main/java/com/example/switching/configchange/controller/ConfigurationChangeController.java),v1-operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/operations/config-changes,ConfigurationChangeController.request  (src/main/java/com/example/switching/configchange/controller/ConfigurationChangeController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/v1/operations/config-changes/{id}/approve,ConfigurationChangeController.approve  (src/main/java/com/example/switching/configchange/controller/ConfigurationChangeController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/v1/operations/config-changes/{id}/execute,ConfigurationChangeController.execute  (src/main/java/com/example/switching/configchange/controller/ConfigurationChangeController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/v1/operations/config-changes/{id}/reject,ConfigurationChangeController.reject  (src/main/java/com/example/switching/configchange/controller/ConfigurationChangeController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/operations/dead-letters,OutboxDeadLetterController.list  (src/main/java/com/example/switching/outbox/deadletter/controller/OutboxDeadLetterController.java),v1-operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/24-dead-letters-20260717T033528Z,
POST,/v1/operations/dead-letters/{id}/approve-replay,OutboxDeadLetterController.approveReplay  (src/main/java/com/example/switching/outbox/deadletter/controller/OutboxDeadLetterController.java),v1-operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/operations/dead-letters/{id}/discard,OutboxDeadLetterController.discard  (src/main/java/com/example/switching/outbox/deadletter/controller/OutboxDeadLetterController.java),v1-operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/operations/dead-letters/{id}/execute-replay,OutboxDeadLetterController.executeReplay  (src/main/java/com/example/switching/outbox/deadletter/controller/OutboxDeadLetterController.java),v1-operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/operations/dead-letters/{id}/request-replay,OutboxDeadLetterController.requestReplay  (src/main/java/com/example/switching/outbox/deadletter/controller/OutboxDeadLetterController.java),v1-operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/operations/legal-holds,LegalHoldController.list  (src/main/java/com/example/switching/compliance/legalhold/controller/LegalHoldController.java),v1-operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/25-legal-holds-20260717T033808Z,
POST,/v1/operations/legal-holds,LegalHoldController.request  (src/main/java/com/example/switching/compliance/legalhold/controller/LegalHoldController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/operations/legal-holds/{id}/approve,LegalHoldController.approve  (src/main/java/com/example/switching/compliance/legalhold/controller/LegalHoldController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/operations/legal-holds/{id}/approve-release,LegalHoldController.approveRelease  (src/main/java/com/example/switching/compliance/legalhold/controller/LegalHoldController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/operations/legal-holds/{id}/request-release,LegalHoldController.requestRelease  (src/main/java/com/example/switching/compliance/legalhold/controller/LegalHoldController.java),v1-operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/operations/participant-certifications,ParticipantCertificationController.list  (src/main/java/com/example/switching/certification/controller/ParticipantCertificationController.java),v1-operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/operations/participant-certifications,ParticipantCertificationController.record  (src/main/java/com/example/switching/certification/controller/ParticipantCertificationController.java),v1-operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/operator/crossborder/reconciliation/{rail}/{statementDate},CrossBorderReconciliationController.reconcile  (src/main/java/com/example/switching/crossborder/controller/CrossBorderReconciliationController.java),v1-operator,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/operator/push-payment-policies,PushPaymentPolicyController.create  (src/main/java/com/example/switching/paymentorchestration/PushPaymentPolicyController.java),v1-operator,standard,happy path + authorization + validation + cleanup,PASS,12-admin-portal-integration,
POST,/v1/operator/push-payment-policies/{id}/activate,PushPaymentPolicyController.activate  (src/main/java/com/example/switching/paymentorchestration/PushPaymentPolicyController.java),v1-operator,standard,happy path + authorization + validation + cleanup,PASS,12-admin-portal-integration,
GET,/v1/operator/report-delivery-schedules,ReportScheduleController.list  (src/main/java/com/example/switching/reportdelivery/ReportScheduleController.java),v1-operator,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/operator/report-delivery-schedules,ReportScheduleController.create  (src/main/java/com/example/switching/reportdelivery/ReportScheduleController.java),v1-operator,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
PATCH,/v1/operator/report-delivery-schedules/{id}/suspend,ReportScheduleController.suspend  (src/main/java/com/example/switching/reportdelivery/ReportScheduleController.java),v1-operator,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/participants/{pspId}/certificates/register,ParticipantCredentialController.registerCertificate  (src/main/java/com/example/switching/participant/controller/ParticipantCredentialController.java),v1-participants,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational/certificate-lifecycle,
POST,/v1/participants/{pspId}/certificates/issue,ParticipantCredentialController.issueCertificate  (src/main/java/com/example/switching/participant/controller/ParticipantCredentialController.java),v1-participants,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/07-certificate-issue-20260717T014548Z,
GET,/v1/participants/certificates,ParticipantCredentialController.listCertificates  (src/main/java/com/example/switching/participant/controller/ParticipantCredentialController.java),v1-participants,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/07-certificate-issue-20260717T014548Z,
DELETE,/v1/participants/{pspId}/certificates/{certId},ParticipantCredentialController.revokeCertificate  (src/main/java/com/example/switching/participant/controller/ParticipantCredentialController.java),v1-participants,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational/certificate-lifecycle,
POST,/v1/participants/{pspId}/credentials/rotate,ParticipantCredentialController.rotateCredentials  (src/main/java/com/example/switching/participant/controller/ParticipantCredentialController.java),v1-participants,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/promotions,PromotionController.create  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,standard,happy path + authorization + validation + cleanup,PASS,promotion-scenarios,
GET,/v1/promotions,PromotionController.list  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/08-promotion-lifecycle-20260717T014945Z,
POST,/v1/promotions/{id}/activate,PromotionController.activate  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,standard,happy path + authorization + validation + cleanup,PASS,promotion-scenarios,
PATCH,/v1/promotions/{id}/extend,PromotionController.extend  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/08-promotion-lifecycle-20260717T014945Z,
GET,/v1/promotions/{id}/report,PromotionController.report  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/08-promotion-lifecycle-20260717T014945Z,
PATCH,/v1/promotions/{id}/suspend,PromotionController.suspend  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,standard,happy path + authorization + validation + cleanup,PASS,promotion-scenarios,
DELETE,/v1/promotions/{id},PromotionController.delete  (src/main/java/com/example/switching/promotion/controller/PromotionController.java),v1-promotions,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/08-promotion-lifecycle-20260717T014945Z,
POST,/v1/qr/decode,QrController.decode  (src/main/java/com/example/switching/qr/controller/QrController.java),v1-qr,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/qr/generate/dynamic,QrController.generateDynamic  (src/main/java/com/example/switching/qr/controller/QrController.java),v1-qr,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/qr/generate/static,QrController.generateStatic  (src/main/java/com/example/switching/qr/controller/QrController.java),v1-qr,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/qr/pay,QrController.pay  (src/main/java/com/example/switching/qr/controller/QrController.java),v1-qr,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/qr/refund,QrController.refund  (src/main/java/com/example/switching/qr/controller/QrController.java),v1-qr,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/reports/download/{id},ReportDownloadController.download  (src/main/java/com/example/switching/reportdelivery/ReportDownloadController.java),v1-reports,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/v1/risk/scores/{txnId},RiskController.getScores  (src/main/java/com/example/switching/risk/controller/RiskController.java),v1-risk,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/rtp/requests,RequestToPayController.create  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/rtp/requests/{id},RequestToPayController.get  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/rtp/requests/{id}/authorise,RequestToPayController.authorise  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/v1/rtp/requests/{id}/cancel,RequestToPayController.cancel  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/rtp/requests/{id}/decline,RequestToPayController.decline  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/rtp/requests/{id}/settlements,RequestToPayController.confirmSettlement  (src/main/java/com/example/switching/rtp/controller/RequestToPayController.java),v1-rtp,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/settlement/balance,LiquidityController.balance  (src/main/java/com/example/switching/liquidity/controller/LiquidityController.java),v1-settlement,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/28-settlement-reads-20260717T035448Z,
POST,/v1/settlement/liquidity/topup,LiquidityController.topUp  (src/main/java/com/example/switching/liquidity/controller/LiquidityController.java),v1-settlement,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/settlement/pool-history,LiquidityController.history  (src/main/java/com/example/switching/liquidity/controller/LiquidityController.java),v1-settlement,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/28-settlement-reads-20260717T035448Z,
GET,/v1/settlement/positions,LiquidityController.positions  (src/main/java/com/example/switching/liquidity/controller/LiquidityController.java),v1-settlement,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/28-settlement-reads-20260717T035448Z,
POST,/v1/settlement/rtgs-callback,RtgsCallbackController.callback  (src/main/java/com/example/switching/settlement/controller/RtgsCallbackController.java),v1-settlement,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/v1/transfers/failed,FpreTransferController.failed  (src/main/java/com/example/switching/fpre/controller/FpreTransferController.java),v1-transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/13-fpre-observability-20260717T024042Z,
GET,/v1/transfers/pending,FpreTransferController.pending  (src/main/java/com/example/switching/fpre/controller/FpreTransferController.java),v1-transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/13-fpre-observability-20260717T024042Z,
GET,/v1/transfers/{txnId}/retry-history,FpreTransferController.retryHistory  (src/main/java/com/example/switching/fpre/controller/FpreTransferController.java),v1-transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/13-fpre-observability-20260717T024042Z,
GET,/v1/transfers/{txnId}/retry-status,FpreTransferController.retryStatus  (src/main/java/com/example/switching/fpre/controller/FpreTransferController.java),v1-transfers,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/13-fpre-observability-20260717T024042Z,
GET,/v1/webhooks,WebhookController.list  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/webhooks,WebhookController.register  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
DELETE,/v1/webhooks/{webhookId},WebhookController.pause  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/v1/webhooks/{webhookId},WebhookController.detail  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/v1/webhooks/{webhookId}/secret/rotate,WebhookController.rotateSecret  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/v1/webhooks/{webhookId}/test,WebhookController.testPing  (src/main/java/com/example/switching/webhook/controller/WebhookController.java),v1-webhooks,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
